Imię,Nazwisko,Klasa,J. polski,J. angielski,Matematyka,Historia,WF
Bruno,Pawlak,5C,5,4,3,4,3
Allan,Kubiak,5E,5,1,5,2,3
Eugeniusz,Szewczyk,3E,1,4,4,3,4
Damian,Ostrowski,8B,1,2,3,2,4
Gabriel,Włodarczyk,2B,3,4,1,1,2
Miłosz,Walczak,2D,4,2,2,2,2
Błażej,Szymczak,4D,2,4,1,5,1
Miron,Mróz,2A,3,3,2,4,3
Eustachy,Wojciechowski,5C,3,1,1,3,3
Aleks,Wasilewska,3D,5,2,2,3,5
Błażej,Bąk,5E,4,3,1,4,2
Alex,Jankowski,2C,2,3,3,1,2
Artur,Pawlak,6A,5,2,2,2,3
Gustaw,Kalinowski,2A,1,3,3,4,1
Andrzej,Rutkowski,8B,2,2,3,3,5
Piotr,Michalak,2D,4,4,5,1,4
Alan,Czerwiński,8C,1,1,3,5,5
Paweł,Piotrowski,2B,3,2,5,1,5
Ariel,Urbańska,5C,2,3,1,5,4
Mariusz,Krupa,5A,1,5,2,4,1
Kornel,Górski,5F,4,2,3,4,4
Norbert,Lewandowski,8A,3,3,1,3,5
Kordian,Krawczyk,3F,4,4,5,5,2
Fabian,Kalinowski,2E,3,3,1,4,4
Filip,Lis,5F,2,2,5,3,4
Bogumił,Czerwiński,4E,4,1,1,4,2
Albert,Kaźmierczak,4D,4,1,3,3,5
Korneliusz,Sadowska,6E,1,3,2,1,4
Kordian,Jakubowski,7E,4,3,4,4,2
Miłosz,Błaszczyk,2A,4,4,5,5,5
Grzegorz,Rutkowski,3D,3,2,3,2,4
Ariel,Lis,3F,3,1,4,1,4
Przemysław,Borkowski,8C,3,2,3,2,2
Gracjan,Kowalczyk,2B,3,3,1,3,3
Bolesław,Sadowska,3D,1,1,3,1,3
Józef,Głowacka,1B,4,1,1,2,5
Marek,Stępień,5F,1,2,1,5,1
Józef,Dąbrowski,5B,3,4,3,4,5
Bartłomiej,Kubiak,3B,2,1,5,5,4
Alek,Sadowska,2F,1,4,3,5,5
Rafał,Kamiński,4B,1,4,1,3,1
Aleksy,Maciejewski,2D,4,4,3,2,5
Alexander,Szymański,2A,1,5,2,3,5
Radosław,Kaczmarczyk,6D,4,2,1,5,3
Alan,Zawadzki,4D,5,4,1,3,3
Dariusz,Przybylski,2B,2,2,5,1,2
Mirosław,Kaczmarczyk,5D,2,2,4,3,5
Kuba,Krupa,3C,5,3,1,4,3
Emil,Sikora,6F,2,5,3,4,4
Bolesław,Wróblewski,5B,3,1,1,5,4
Mateusz,Włodarczyk,4C,5,2,2,5,5
Cyprian,Brzeziński,3F,5,4,1,2,4
Daniel,Kowalczyk,2D,4,2,4,4,5
Damian,Wróblewski,5D,2,4,5,1,5
Jacek,Zieliński,3B,3,5,3,2,3
Ksawery,Kaźmierczak,7F,2,5,4,1,4
Albert,Jakubowski,2C,4,3,3,1,2
Aleksy,Wójcik,6A,5,1,4,1,4
Remigiusz,Mazur,2F,2,4,1,2,3
Juliusz,Wróblewski,4B,2,2,1,3,2
Ernest,Bąk,2E,4,1,4,4,5
Maciej,Woźniak,2D,1,2,2,1,5
Kazimierz,Kwiatkowski,4B,4,5,1,3,4
Leonardo,Duda,6A,5,2,5,4,3
Maksymilian,Czerwiński,1B,2,2,5,3,3
Krzysztof,Szymański,8E,3,1,2,5,5
Franciszek,Ostrowski,6C,3,4,3,1,4
Julian,Borkowski,2A,1,4,3,3,3
Kazimierz,Kubiak,4C,1,3,4,4,2
Ernest,Zakrzewska,4C,4,1,3,2,3
Edward,Brzeziński,4E,3,2,4,4,5
Juliusz,Kubiak,7E,3,1,3,1,1
Marcel,Sawicki,1D,1,2,3,5,4
Amir,Cieślak,3A,1,3,3,4,2
Ireneusz,Sikora,7A,1,2,3,3,5
Roman,Adamska,6B,5,5,5,5,2
Mieszko,Szewczyk,7D,1,2,5,4,5
Henryk,Kubiak,4D,2,3,5,1,1
Damian,Szulc,2A,1,1,3,1,5
Alex,Kamiński,1D,3,4,3,1,5
Korneliusz,Szymański,1E,5,5,2,5,4
Ernest,Wójcik,5A,5,4,4,1,2
Bartosz,Przybylski,4E,5,1,2,3,5
Oskar,Wójcik,8C,1,4,4,5,3
Mateusz,Kozłowski,8A,5,1,1,2,2
Janusz,Marciniak,8A,5,4,3,1,3
Arkadiusz,Lewandowski,4F,2,5,3,5,1
Ariel,Zalewski,6F,1,5,4,1,1
Kryspin,Duda,5E,2,4,1,1,1
Eryk,Kaczmarczyk,2C,4,4,3,1,2
Kornel,Kucharski,5C,4,3,5,3,4
Bruno,Tomaszewski,6F,4,3,2,5,3
Kajetan,Lewandowski,8C,4,1,5,2,3
Eugeniusz,Stępień,4C,4,1,3,4,1
Andrzej,Stępień,5D,5,3,5,5,1
Daniel,Witkowski,3C,5,1,4,5,5
Miron,Bąk,7C,2,3,5,4,5
Przemysław,Wróblewski,4F,5,4,5,5,2
Bruno,Czarnecki,7C,1,1,4,1,2
Oskar,Wiśniewski,8F,3,3,1,4,1
Filip,Czerwiński,1E,5,2,3,5,1
Dawid,Szczepański,3B,5,4,5,2,5
Franciszek,Kowalski,8A,4,2,4,2,2
Leszek,Krupa,2F,3,3,1,3,2
Dariusz,Urbańska,5F,2,2,4,3,1
Gustaw,Sobczak,2E,5,1,5,3,2
Julian,Jaworski,6E,2,4,2,4,3
Miron,Borkowski,6B,4,2,4,5,5
Alek,Mróz,4A,4,5,2,1,3
Gabriel,Sikorska,1E,1,1,4,1,5
Maciej,Borkowski,8A,5,4,5,2,2
Ksawery,Maciejewski,2E,5,4,1,1,1
Mieszko,Sikorska,6F,5,1,3,2,1
Przemysław,Jakubowski,1C,3,2,4,3,5
Ryszard,Lis,1B,2,5,4,5,1
Mikołaj,Adamska,3E,2,3,2,5,1
Leszek,Mazur,3B,2,5,4,5,1
Dominik,Chmielewski,3D,1,1,1,2,2
Korneliusz,Kowalski,1F,1,2,1,3,5
Filip,Jankowski,6F,4,1,5,3,5
Fabian,Andrzejewski,2F,3,3,3,2,3
Bronisław,Nowak,1E,1,1,2,3,2
Daniel,Pawlak,5A,5,3,4,3,1
Konstanty,Szymański,1E,1,4,5,4,4
Fabian,Jasiński,2D,2,3,4,4,2
Borys,Dąbrowski,3B,1,5,4,1,1
Grzegorz,Kaźmierczak,4F,4,5,2,4,1
Czesław,Adamska,8A,2,5,2,4,1
Leonardo,Witkowski,7C,2,5,2,2,4
Adam,Pietrzak,1F,1,2,1,4,2
Ireneusz,Sikora,6E,1,3,2,3,4
Albert,Duda,2C,3,5,1,5,3
Fryderyk,Zalewski,8D,4,1,5,3,2
Heronim,Maciejewski,5F,3,2,2,4,2
Ernest,Maciejewski,5B,5,1,4,2,1
Marcin,Maciejewski,6A,3,1,2,2,5
Bolesław,Mazurek,8A,2,4,5,4,3
Jerzy,Krajewska,6E,2,5,1,5,3
Kacper,Kołodziej,2B,3,2,2,5,1
Diego,Chmielewski,6E,4,1,2,2,3
Denis,Sawicki,5F,5,4,3,3,2
Henryk,Adamska,5D,4,1,2,5,3
Ireneusz,Kamiński,3E,2,5,4,1,1
Kryspin,Wojciechowski,3C,4,2,1,4,4
Marek,Sikora,3D,1,2,2,4,5
Mirosław,Baranowski,6D,1,1,2,2,3
Alek,Włodarczyk,6D,1,1,4,1,2
Allan,Wójcik,6D,3,1,5,3,5
Henryk,Jankowski,6E,5,4,1,3,1
Milan,Malinowski,4D,2,3,2,1,4
Maksymilian,Wasilewska,3D,4,1,2,1,4
Eustachy,Kwiatkowski,6A,3,1,2,5,5
Olaf,Krajewska,8A,2,4,1,2,2
Albert,Czarnecki,7D,3,5,2,3,2
Julian,Cieślak,2F,1,4,2,2,4
Aleks,Pawlak,1C,5,5,1,4,4
Kazimierz,Nowak,6B,3,4,1,5,3
Anatol,Wójcik,1E,4,5,3,2,1
Dorian,Jankowski,5B,3,4,4,3,4
Ireneusz,Szulc,7A,5,5,4,1,1
Grzegorz,Duda,5D,3,5,5,1,2
Amir,Czarnecki,4E,4,5,4,1,1
Leszek,Krajewska,7F,1,4,2,4,5
Kamil,Baran,2A,4,3,2,5,5
Denis,Kołodziej,7C,3,3,1,4,2
Gracjan,Sikora,3F,5,4,5,1,5
Gracjan,Szymański,4E,4,4,5,1,5
Adrian,Czerwiński,7B,1,2,5,2,2
Allan,Duda,6F,4,5,1,1,3
Emil,Czerwiński,1A,3,2,4,1,3
Alex,Jakubowski,1B,2,5,4,3,3
Kewin,Chmielewski,5A,1,5,1,4,4
Norbert,Górecki,8E,5,5,5,4,3
Jerzy,Zieliński,5A,5,3,5,5,1
Anastazy,Kowalski,5C,3,4,3,1,2
Damian,Szulc,3C,3,5,1,3,3
Łukasz,Ziółkowska,3E,1,2,1,1,4
Błażej,Makowski,6C,5,2,2,5,5
Ryszard,Jasiński,6B,2,5,5,1,1
Grzegorz,Kaźmierczak,6E,4,3,4,2,3
Jacek,Wójcik,1A,2,2,2,1,1
Miron,Wiśniewski,6E,4,2,1,4,1
Natan,Jankowski,5D,4,4,5,5,1
Ksawery,Szymański,5B,3,5,5,5,4
Robert,Dąbrowski,5D,2,5,4,5,3
Ariel,Sikorska,8A,4,1,4,1,3
Dawid,Kowalski,8B,5,3,3,1,5
Bolesław,Woźniak,4E,3,2,5,4,2
Gniewomir,Zieliński,3D,2,4,3,5,4
Adam,Jankowski,7E,5,5,5,4,2
Mateusz,Chmielewski,6F,3,5,1,3,1
Patryk,Mazur,1D,4,1,3,3,3
Emil,Zawadzki,5D,3,2,2,2,3
Ryszard,Wróblewski,3A,5,4,1,2,3
Gustaw,Szewczyk,3D,2,3,1,1,2
Mariusz,Wróblewski,2F,4,5,3,3,5
Dorian,Szymczak,1C,2,1,5,4,1
Ireneusz,Sobczak,8E,3,5,5,1,5
Krzysztof,Szymczak,4E,4,1,2,5,2
Mikołaj,Piotrowski,3B,4,1,2,1,1
Radosław,Bąk,7A,5,3,4,1,5
Alek,Kozłowski,4B,4,2,1,4,3
Adrian,Krawczyk,3C,4,2,5,3,4
Jan,Marciniak,4E,2,2,2,2,3
Eryk,Baran,6E,1,1,2,1,2
Ignacy,Witkowski,1C,4,3,3,5,4
Jakub,Sobczak,5E,4,1,4,5,4
Marek,Kubiak,3B,4,1,1,4,5
Alek,Chmielewski,4D,3,3,3,5,3
Bartłomiej,Kamiński,1E,2,1,4,2,4
Gustaw,Marciniak,2B,1,2,5,2,4
Kajetan,Krawczyk,6D,3,3,3,3,2
Marcin,Sikora,6E,1,2,1,3,1
Czesław,Tomaszewski,4F,5,5,3,1,5
Emil,Duda,6E,2,2,1,5,4
Maurycy,Sadowska,8E,2,5,4,5,2
Leszek,Pietrzak,7C,4,3,1,2,4
Jerzy,Zawadzki,1D,4,5,1,4,5
Marian,Sobczak,4C,2,2,5,2,4
Bolesław,Kalinowski,5E,5,2,4,2,2
Błażej,Wysocki,4E,3,1,2,1,4
Kazimierz,Maciejewski,2B,5,5,3,3,2
Dobromił,Kowalski,7D,1,5,2,5,4
Dariusz,Szulc,6E,4,2,4,4,3
Kryspin,Dąbrowski,8F,2,2,2,2,5
Bronisław,Kowalski,8E,2,2,3,5,1
Kornel,Wasilewska,3B,1,2,2,2,3
Jerzy,Witkowski,4C,1,1,5,3,4
Jacek,Ziółkowska,6B,5,5,5,2,5
Rafał,Brzeziński,7B,1,2,5,4,3
Ariel,Kaźmierczak,3F,5,1,4,1,1
Martin,Krupa,4A,2,5,2,3,2
Antoni,Bąk,6C,2,5,2,2,2
Bruno,Sobczak,8E,4,2,1,3,3
Przemysław,Woźniak,4F,3,4,2,3,1
Roman,Wróblewski,1B,5,2,5,1,2
Konstanty,Błaszczyk,1F,3,2,4,1,2
Fryderyk,Pietrzak,2F,5,5,3,2,1
Gracjan,Duda,4A,2,1,2,5,5
Aleksander,Górski,8E,2,4,1,1,4
Marek,Sobczak,3F,5,5,5,3,4
Dorian,Jankowski,2F,2,3,4,3,3
Kamil,Czerwiński,1A,5,1,3,3,3
Leonardo,Malinowski,4C,2,2,2,4,1
Jan,Marciniak,6A,4,1,5,5,1
Bartłomiej,Piotrowski,5B,4,2,2,4,2
Eustachy,Górecki,5B,2,3,1,1,3
Bronisław,Kucharski,4D,1,5,5,3,2
Lucjan,Pietrzak,2C,2,4,1,3,4
Konstanty,Przybylski,1C,3,3,2,4,4
Błażej,Sikora,5F,4,4,1,2,4
Amir,Sobczak,3B,4,2,5,2,5
Mariusz,Pietrzak,8A,1,3,1,5,3
Eustachy,Cieślak,6B,1,3,1,4,2
Damian,Jaworski,5C,1,5,2,4,4
Oktawian,Szewczyk,2F,5,1,3,1,2
Aleksy,Piotrowski,8C,3,5,2,5,3
Kordian,Mróz,1D,3,2,2,5,1
Fabian,Sikorska,6A,5,4,2,4,1
Joachim,Andrzejewski,7B,3,3,1,1,5
Dominik,Urbańska,6C,4,5,2,4,4
Gabriel,Ziółkowska,1F,2,4,2,3,2
Kamil,Krupa,7F,3,1,5,5,4
Kacper,Kaczmarczyk,8D,3,3,3,3,4
Bartosz,Marciniak,8F,4,1,3,4,4
Bronisław,Lis,1B,1,2,3,2,4
Emanuel,Mazur,4E,2,3,5,4,3
Eustachy,Gajewska,8D,5,5,5,4,2
Florian,Szulc,2C,4,5,5,1,3
Filip,Makowski,2D,5,1,2,4,3
Gabriel,Sokołowski,4D,1,4,5,1,1
Franciszek,Wysocki,2B,5,1,2,3,3
Aleksander,Dąbrowski,2B,3,2,2,3,4
Jan,Sikorska,6B,1,1,2,4,5
Łukasz,Czarnecki,4C,3,3,3,1,5
Patryk,Kamiński,2D,1,2,5,2,2
Cezary,Sikorska,7C,3,5,4,1,3
Leszek,Borkowski,4D,3,5,3,1,5
Milan,Górski,5E,5,1,5,4,2
Janusz,Głowacka,1B,1,3,2,4,4
Adam,Urbańska,6A,3,4,4,4,3
Jakub,Kaźmierczak,6E,5,5,3,5,4
Igor,Baranowski,8F,5,3,3,1,3
Rafał,Krawczyk,2C,5,4,5,1,3
Fabian,Piotrowski,1E,2,4,3,3,5
Anastazy,Kowalski,7E,2,4,4,3,5
Kamil,Szewczyk,1E,1,3,2,2,4
Aleksander,Błaszczyk,5A,4,1,3,2,1
Patryk,Mróz,8D,2,5,4,1,2
Paweł,Kołodziej,3E,3,5,2,2,5
Cezary,Zalewski,5D,1,4,3,3,4
Alexander,Urbańska,1B,4,4,3,1,5
Milan,Witkowski,8C,4,3,3,4,1
Marian,Szymański,6E,4,2,5,1,2
Jakub,Szulc,1F,2,3,3,3,5
Maksymilian,Woźniak,5F,5,3,5,4,1
Ireneusz,Piotrowski,3B,1,3,2,4,5
Kewin,Brzeziński,5D,1,2,5,2,4
Florian,Michalak,7F,1,1,2,5,5
Heronim,Zieliński,4C,2,2,4,2,2
Aleks,Kalinowski,5B,5,3,2,5,2
Jerzy,Kaźmierczak,5C,3,2,2,3,5
Anastazy,Krupa,2A,1,1,3,1,3
Emil,Przybylski,8F,5,1,2,4,3
Maurycy,Witkowski,1B,1,4,4,1,3
Aureliusz,Mróz,5D,1,3,5,4,5
Bartłomiej,Górski,2F,5,3,1,2,2
Joachim,Baranowski,7A,2,2,2,3,1
Aleksander,Maciejewski,2F,1,3,5,1,3
Jędrzej,Cieślak,4D,2,4,2,5,1
Bruno,Sawicki,6D,1,4,1,2,3
Eryk,Piotrowski,5A,5,1,3,3,2
Jarosław,Kozłowski,6D,1,1,3,3,4
Fabian,Witkowski,2F,4,5,1,3,3
Kamil,Ostrowski,4B,2,4,1,1,1
Heronim,Bąk,2F,5,3,2,1,4
Czesław,Szewczyk,1D,1,5,2,3,1
Kornel,Mazurek,7D,1,2,5,3,4
Antoni,Kamiński,8A,3,3,5,2,4
Kuba,Wojciechowski,1E,2,3,3,3,4
Jarosław,Włodarczyk,7E,2,4,3,3,3
Heronim,Marciniak,2B,3,5,1,5,3
Bolesław,Zawadzki,3F,4,5,1,4,1
Krzysztof,Szewczyk,4D,5,2,1,4,2
Alfred,Sikora,5B,3,2,4,3,3
Aleksander,Ostrowski,2A,4,4,2,1,1
Jacek,Makowski,8A,4,1,3,1,1
Amadeusz,Jankowski,3C,5,3,1,2,2
Remigiusz,Kowalczyk,8A,4,1,5,5,5
Igor,Sikora,7A,1,4,4,2,4
Marek,Maciejewski,7E,5,2,4,2,3
Aleksander,Kowalczyk,8B,4,1,2,3,2
Arkadiusz,Jakubowski,2D,2,3,5,2,1
Bogumił,Andrzejewski,8A,1,3,5,3,1
Natan,Mazurek,4E,1,5,3,3,3
Maurycy,Jasiński,4C,5,2,3,1,5
Miron,Jankowski,5F,2,5,1,1,4
Julian,Kaczmarczyk,3B,2,1,1,3,3
Janusz,Kalinowski,7E,3,5,4,1,1
Florian,Szczepański,4C,5,1,5,1,4
Remigiusz,Włodarczyk,3D,3,4,4,4,3
Krzysztof,Lis,6C,1,1,3,4,3
Maciej,Mazur,4A,2,2,4,3,5
Julian,Wiśniewski,8A,4,4,1,1,4
Arkadiusz,Mróz,1F,4,2,4,5,2
Antoni,Rutkowski,5B,1,5,1,2,4
Edward,Czerwiński,4A,2,2,4,3,3
Karol,Piotrowski,8C,5,1,3,1,5
Artur,Chmielewski,7E,2,4,5,2,4
Norbert,Krupa,2F,2,4,2,2,3
Amir,Lewandowski,7C,4,2,2,4,4
Henryk,Szewczyk,3F,3,5,4,5,5
Andrzej,Kwiatkowski,4F,5,1,1,3,1
Alfred,Wróblewski,4A,1,4,2,4,3
Gustaw,Pietrzak,6B,3,4,4,4,5
Korneliusz,Jankowski,7A,1,4,2,5,1
Ernest,Dąbrowski,7A,5,1,1,2,4
Anatol,Górski,5E,3,3,2,1,4
Lucjan,Głowacka,7A,4,3,4,3,5
Kacper,Sikorska,1F,3,4,4,4,1
Julian,Mazur,7F,3,1,2,5,3
Natan,Woźniak,6F,2,3,4,5,3
Korneliusz,Baran,8A,4,5,2,1,4
Eustachy,Sawicki,6D,1,1,5,2,4
Dawid,Stępień,4F,5,3,1,2,1
Anastazy,Brzeziński,4B,4,2,3,2,4
Przemysław,Chmielewski,1E,4,3,4,2,2
Maciej,Głowacka,2B,1,2,1,4,5
Adam,Chmielewski,4D,2,4,3,3,3
Alex,Baranowski,2D,1,3,2,3,3
Andrzej,Jakubowski,5B,3,5,1,1,4
Jan,Wróblewski,6E,4,5,1,1,1
Milan,Pawlak,3B,3,2,3,3,5
Anastazy,Makowski,1E,4,4,3,4,2
Mariusz,Szczepański,5A,5,3,5,3,5
Oskar,Szewczyk,6C,5,3,1,4,4
Klaudiusz,Kucharski,6C,5,5,2,5,5
Emil,Kowalczyk,8E,3,4,1,5,2
Anatol,Wróblewski,8F,4,4,5,1,1
Norbert,Jakubowski,1D,1,2,2,3,1
Dominik,Włodarczyk,6B,1,5,4,5,1
Czesław,Wysocki,6B,2,3,5,5,2
Leonardo,Krawczyk,7F,3,4,2,3,2
Ksawery,Górecki,5F,3,5,1,3,3
Gabriel,Sikora,3F,1,4,3,5,5
Adrian,Sikora,5B,1,4,5,3,1
Gustaw,Kamiński,3A,4,3,5,2,3
Błażej,Jakubowski,5E,4,3,3,3,2
Fabian,Sikora,6B,5,5,3,5,1
Przemysław,Baranowski,8D,2,5,2,5,5
Gustaw,Jaworski,6C,4,2,2,3,2
Alek,Chmielewski,5C,4,5,5,4,1
Ernest,Wiśniewski,4D,3,5,3,3,4
Patryk,Krupa,8F,3,1,4,4,5
Eugeniusz,Jakubowski,8B,3,2,1,4,4
Ryszard,Szymczak,1C,3,1,2,3,4
Robert,Przybylski,4B,4,1,4,1,5
Eryk,Kalinowski,3A,4,5,5,1,2
Czesław,Pietrzak,5B,5,4,5,2,1
Cezary,Laskowska,7F,5,3,5,4,4
Aleks,Kwiatkowski,4B,1,5,5,3,4
Alexander,Wróblewski,4C,4,4,3,2,5
Edward,Kamiński,3D,3,1,5,5,4
Ariel,Baran,3B,3,1,1,4,4
Kryspin,Baran,1F,1,5,1,3,1
Bartłomiej,Michalak,3C,3,5,5,1,2
Borys,Błaszczyk,7F,2,5,4,1,2
Łukasz,Sobczak,2C,2,3,3,4,2
Amir,Ostrowski,8B,4,3,3,4,5
Ireneusz,Kucharski,5F,4,5,5,2,5
Marcin,Wysocki,8A,4,1,3,3,3
Julian,Kucharski,8E,1,2,5,2,3
Mateusz,Szewczyk,4C,4,4,2,3,4
Denis,Jaworski,2D,2,1,5,2,5
Mateusz,Kamiński,6C,3,2,4,5,3
Olgierd,Kwiatkowski,4A,3,3,2,2,2
Alex,Marciniak,8B,2,5,2,4,4
Fryderyk,Brzeziński,6D,1,2,5,4,4
Kornel,Wojciechowski,6B,5,4,2,3,1
Dawid,Sikorska,2F,4,4,3,4,5
Alan,Szulc,3D,5,5,5,5,1
Olgierd,Urbańska,6D,1,1,2,2,1
Norbert,Baran,5D,2,2,5,3,2
Aleks,Bąk,5C,3,4,5,5,3
Andrzej,Kowalczyk,1F,3,3,1,5,2
Andrzej,Urbańska,2C,2,3,5,4,5
Olgierd,Kucharski,3A,1,2,3,4,4
Olaf,Jasiński,4B,3,5,5,5,5
Oktawian,Lewandowski,7D,1,2,4,1,2
Ignacy,Sokołowski,5A,3,1,5,4,5
Józef,Gajewska,3E,4,1,4,4,5
Alek,Szulc,5C,2,2,5,1,4
Anatol,Michalak,4D,4,1,3,1,4
Konstanty,Lis,7B,5,4,5,5,2
Paweł,Chmielewski,7C,4,5,5,2,3
Bogumił,Sikora,2A,5,4,2,4,1
Heronim,Ostrowski,4D,5,4,2,2,2
Mirosław,Wiśniewski,7C,3,5,5,1,2
Cyprian,Wasilewska,1C,1,4,1,4,5
Kazimierz,Mazur,5B,1,5,1,3,4
Błażej,Pietrzak,4F,5,4,3,5,1
Miron,Jasiński,7F,4,2,5,4,3
Ksawery,Sikorska,1D,3,5,4,1,3
Antoni,Tomaszewski,2D,5,2,5,2,3
Marcin,Witkowski,4E,4,3,5,5,3
Jarosław,Baranowski,5C,2,3,4,2,3
Dorian,Laskowska,1B,3,5,5,2,3
Błażej,Wiśniewski,8D,3,5,1,3,4
Kajetan,Zalewski,7F,5,1,5,4,2
Lucjan,Pawlak,4E,2,4,2,1,1
Edward,Ostrowski,2C,5,2,5,4,5
Emil,Krupa,8A,5,5,2,5,1
Edward,Baranowski,3D,4,3,1,2,2
Alfred,Ostrowski,1F,2,5,1,1,5
Robert,Borkowski,8C,5,1,3,5,3
Krystian,Mazurek,2E,4,5,1,1,3
Korneliusz,Sikorska,8D,3,4,2,3,2
Bolesław,Gajewska,5A,3,4,4,3,2
Amir,Ziółkowska,8C,5,5,1,1,2
Florian,Urbańska,4C,1,5,2,2,4
Dariusz,Lewandowski,7D,3,1,5,5,2
Damian,Jankowski,1A,2,4,1,4,2
Alfred,Przybylski,4F,3,1,5,2,2
Olgierd,Głowacka,5F,5,2,1,4,3
Mirosław,Zieliński,4D,1,2,2,2,4
Dariusz,Kamiński,4E,5,4,5,4,4
Łukasz,Lis,6A,4,3,2,3,1
Kajetan,Kowalczyk,1F,4,4,4,4,3
Amir,Baran,4B,5,5,1,4,4
Emil,Włodarczyk,8F,4,1,1,5,1
Gracjan,Wojciechowski,5A,1,3,4,3,3
Andrzej,Kaczmarczyk,4C,2,4,5,4,5
Kornel,Szczepański,5D,3,1,4,2,5
Jędrzej,Krawczyk,2B,3,2,4,3,5
Olgierd,Bąk,3D,2,4,1,4,4
Robert,Nowak,7B,5,1,5,5,5
Klaudiusz,Rutkowski,3F,5,2,3,3,4
Cyprian,Kołodziej,7F,1,5,4,2,3
Bruno,Pietrzak,3D,2,1,4,1,2
Allan,Michalak,8A,5,1,4,4,1
Damian,Walczak,1E,5,4,1,1,2
Cezary,Urbańska,2F,3,1,1,2,1
Alek,Dąbrowski,2A,1,5,4,2,4
Remigiusz,Szymczak,5D,3,4,3,2,4
Amir,Brzeziński,3B,4,3,4,2,4
Radosław,Laskowska,1E,5,2,1,4,1
Fryderyk,Zawadzki,2B,1,3,5,5,3
Aleksy,Jankowski,3B,2,1,2,5,1
Milan,Przybylski,1A,5,3,4,3,5
Jędrzej,Cieślak,4F,3,2,3,2,3
Roman,Kalinowski,7B,1,5,4,2,4
Przemysław,Cieślak,5A,2,1,4,1,3
Mateusz,Sawicki,6C,2,4,1,4,5
Daniel,Sadowska,7C,2,4,3,2,3
Oskar,Kalinowski,5C,3,1,1,5,2
Adrian,Sawicki,7B,5,5,5,3,3
Emil,Wróblewski,7E,1,5,2,4,1
Antoni,Górecki,2B,4,2,1,3,1
Fabian,Laskowska,5F,4,5,2,4,3
Janusz,Makowski,3C,1,1,5,1,2
Konrad,Kalinowski,3F,4,4,2,5,1
Daniel,Wiśniewski,7F,2,2,2,4,5
Kordian,Witkowski,4B,3,3,5,2,2
Andrzej,Sawicki,3C,4,4,1,1,2
Maksymilian,Jankowski,5E,3,3,2,1,5
Ignacy,Baran,3B,4,4,4,4,3
Gustaw,Kamiński,8D,3,1,2,3,2
Fabian,Głowacka,6A,1,4,5,2,2
Dorian,Kaźmierczak,8B,4,4,3,3,1
Florian,Sawicki,1F,5,3,5,4,2
Jacek,Duda,3F,5,1,2,5,3
Natan,Makowski,4A,4,4,1,1,1
Jerzy,Zalewski,4E,4,1,4,4,3
Dorian,Szulc,3E,1,1,4,3,2
Kuba,Walczak,7E,3,5,4,3,1
Miłosz,Wróblewski,5B,3,5,2,4,3
Konrad,Ostrowski,2E,4,4,2,4,5
Anastazy,Laskowska,2F,2,2,2,2,5
Amir,Kowalczyk,4B,5,3,5,5,5
Olgierd,Kucharski,7C,5,1,2,5,3
Lucjan,Marciniak,7F,5,3,5,2,5
Borys,Pietrzak,8D,4,5,4,5,1
Filip,Wiśniewski,2E,5,1,3,2,1
Damian,Sokołowski,5E,4,2,1,3,5
Alex,Szulc,6A,4,4,4,5,2
Mateusz,Kowalski,3C,2,5,1,5,3
Natan,Cieślak,2D,5,5,4,2,4
Florian,Szymański,4A,3,4,2,1,4
Bartłomiej,Szulc,7C,2,5,2,4,1
Norbert,Krawczyk,5E,1,5,2,4,3
Ireneusz,Andrzejewski,8D,5,3,5,1,3
Olgierd,Ostrowski,2F,4,3,2,1,4
Przemysław,Malinowski,2D,1,5,1,4,3
Mateusz,Kozłowski,5F,4,4,1,5,4
Anatol,Krawczyk,6B,5,4,5,3,1
Emanuel,Kaźmierczak,2C,1,4,2,2,1
Krzysztof,Maciejewski,1A,3,3,1,3,4
Anastazy,Sikorska,4A,5,2,3,3,4
Józef,Kaźmierczak,3B,5,1,2,1,4
Arkadiusz,Lewandowski,2C,3,4,4,3,4
Fryderyk,Mróz,7C,4,3,5,2,3
Bogumił,Zawadzki,3B,2,5,3,5,3
Kuba,Rutkowski,2F,5,3,2,5,5
Franciszek,Maciejewski,8E,5,4,1,1,2
Ariel,Marciniak,6D,4,5,5,4,3
Czesław,Sokołowski,2D,5,3,1,3,2
Paweł,Jaworski,1F,3,3,3,3,3
Ireneusz,Zalewski,2B,1,2,3,3,4
Eustachy,Kubiak,6F,5,4,2,1,3
Olaf,Szulc,1B,5,2,3,2,1
Piotr,Cieślak,6F,3,2,4,3,4
Alfred,Czarnecki,7B,4,4,1,2,4
Filip,Krajewska,5F,2,5,5,3,3
Piotr,Kalinowski,5F,4,1,5,3,2
Krystian,Duda,2B,5,4,1,4,2
Emil,Sawicki,6C,2,5,4,5,4
Robert,Jakubowski,4E,3,1,1,5,1
Dominik,Jakubowski,4A,5,3,3,2,2
Artur,Zalewski,7A,4,4,2,4,4
Marian,Ziółkowska,1C,1,1,4,2,1
Mirosław,Piotrowski,7F,5,4,5,5,4
Karol,Sikorska,4D,1,4,4,2,5
Ryszard,Sawicki,8A,1,1,3,2,1
Alex,Mazur,1E,3,3,1,4,3
Norbert,Mróz,7F,2,5,2,3,3
Patryk,Sokołowski,2D,1,5,2,2,5
